,box,txt,score
0,"[[190.0, 72.0], [428.0, 72.0], [428.0, 124.0], [190.0, 124.0]]",上海交通大学,0.8926814198493958
1,"[[594.0, 87.0], [919.0, 87.0], [919.0, 118.0], [594.0, 118.0]]",电子信息与电气工程学院,0.9129529595375061
2,"[[942.0, 94.0], [1102.0, 98.0], [1101.0, 137.0], [941.0, 133.0]]",学术报告,0.9830598831176758
3,"[[186.0, 129.0], [426.0, 129.0], [426.0, 153.0], [186.0, 153.0]]",SHANGHAI JIAOTONG UNIVERSITY,0.904296338558197
4,"[[939.0, 174.0], [994.0, 169.0], [998.0, 210.0], [943.0, 215.0]]",系,0.9962409734725952
5,"[[1050.0, 175.0], [1103.0, 175.0], [1103.0, 212.0], [1050.0, 212.0]]",列,0.9718620777130127
6,"[[83.0, 212.0], [877.0, 212.0], [877.0, 256.0], [83.0, 256.0]]",Title: Post-Quantum Fiat-Shamir,0.9505320191383362
7,"[[406.0, 312.0], [661.0, 312.0], [661.0, 343.0], [406.0, 343.0]]","Time: 14:00, Sep 16",0.9215893745422363
8,"[[406.0, 365.0], [653.0, 365.0], [653.0, 391.0], [406.0, 391.0]]",Venue:SEIEE3-404,0.9513342380523682
9,"[[406.0, 417.0], [552.0, 417.0], [552.0, 443.0], [406.0, 443.0]]",Host: Yu Yu,0.9520537853240967
10,"[[406.0, 461.0], [559.0, 461.0], [559.0, 493.0], [406.0, 493.0]]",Abstract:,0.9235236644744873
11,"[[469.0, 518.0], [1120.0, 518.0], [1120.0, 544.0], [469.0, 544.0]]",The Fiat-Shamir transformation is a useful,0.8915648460388184
12,"[[404.0, 570.0], [1124.0, 566.0], [1124.0, 598.0], [404.0, 601.0]]",approach to building non-interactive arguments (of,0.9164477586746216
13,"[[406.0, 620.0], [1122.0, 620.0], [1122.0, 651.0], [406.0, 651.0]]","knowledge) in the random oracle model. Unfortunately,",0.9256473183631897
14,"[[402.0, 672.0], [1122.0, 670.0], [1122.0, 701.0], [402.0, 703.0]]",existing proof techniques are incapable of proving the,0.9276745319366455
15,"[[404.0, 725.0], [1120.0, 725.0], [1120.0, 751.0], [404.0, 751.0]]",security of Fiat-Shamir in the quantum setting. The,0.9529826045036316
16,"[[59.0, 773.0], [1124.0, 773.0], [1124.0, 804.0], [59.0, 804.0]]","problem stems from (1) the diffculty of quantum rewinding, and (2) the inability of",0.9369853138923645
17,"[[55.0, 823.0], [1124.0, 825.0], [1124.0, 856.0], [55.0, 854.0]]",current techniques to adaptively program random oracles in the quantum setting.,0.9475720524787903
18,"[[54.0, 871.0], [1126.0, 874.0], [1126.0, 911.0], [53.0, 908.0]]","In this talk, I will talk about how to overcome the limitations above in many",0.9266754984855652
19,"[[59.0, 928.0], [1118.0, 928.0], [1118.0, 954.0], [59.0, 954.0]]","settings. And as an application, I will show existing lattice signatures based or",0.9306612610816956
20,"[[55.0, 976.0], [698.0, 978.0], [697.0, 1009.0], [55.0, 1007.0]]",Fiat-Shamir are secure without any modifications.,0.925268828868866
21,"[[57.0, 1056.0], [128.0, 1061.0], [126.0, 1096.0], [55.0, 1091.0]]",Bio:,0.984538197517395
22,"[[124.0, 1116.0], [1122.0, 1116.0], [1122.0, 1142.0], [124.0, 1142.0]]","Qipeng Liu is a Ph.D student in Computer Science Department, Princeton",0.908237099647522
23,"[[57.0, 1162.0], [1124.0, 1164.0], [1124.0, 1195.0], [57.0, 1194.0]]",University. He is advised by Professor Mark Zhandry. His research focuses on,0.9555338025093079
24,"[[59.0, 1218.0], [1120.0, 1218.0], [1120.0, 1243.0], [59.0, 1243.0]]","post-quantum cryptography,quantum random oracle model and he also has broad",0.9215549826622009
25,"[[57.0, 1266.0], [1120.0, 1266.0], [1120.0, 1297.0], [57.0, 1297.0]]","interest in cryptography. Before becoming a Ph.D student in Princeton University,",0.9290775060653687
26,"[[55.0, 1315.0], [718.0, 1319.0], [718.0, 1350.0], [55.0, 1347.0]]","he received his bachelor in IlIS, Tsinghua University.",0.9179832339286804
